Institution,Type,Size,Setting,Minority_Serving_Institution,GRE_Requirement,GRE_Notes,Address,Link,Latitude,Longitude
University of Illinois Chicago: Department of Earth & Environmental Sciences,Public,Large,Urban,"AANAPISI, HSI",GRE not required,,"845 W. Taylor St., 2440 SES Chicago, IL 60607",https://eaes.uic.edu/,41.87,-87.65
University of Kentucky: Department of Earth and Environmental Sciences,Public,Large,Urban,No MSI status,GRE not required,,"South Limestone, 101 Slone Building, Lexington, KY 40506",https://ees.as.uky.edu/,38.03,-84.5
University of Maryland College Park: Department of Atmospheric and Oceanic Science,Public,Large,Suburban,AANAPISI,GRE not required,,"4254 Stadium Drive, College Park, MD 20742",https://aosc.umd.edu/,38.99,-76.94
University of Massachusetts Amherst: Department of Geosciences,Public,Large,Suburban,No MSI status,GRE not required,,"627 North Pleasant St, 233 Morrill Science Center, Amherst, MA 1003",http://www.geo.umass.edu/programs/graduate/geology,42.39,-72.53
University of Michigan: Department of Earth and Environmental Sciences,Public,Large,Urban,No MSI status,GRE not required,,"1100 North University Ave., Ann Arbor, MI 48109",https://lsa.umich.edu/earth,42.24,-83.74
University of Michigan: Department of Climate and Space Sciences and Engineering,Public,Large,Urban,No MSI status,GRE not required,,"2455 Hayward St., Ann Arbor, MI 48109",https://clasp.engin.umich.edu/,42.24,-83.74
"University of Minnesota, Duluth: Department of Earth and Environmental Sciences",Public,Medium,Suburban,No MSI status,GRE not required,,"1114 Kirby Drive, Heller Hall 229, Duluth, MN 55812",https://scse.d.umn.edu/departments-and-programs/earth-environmental-sciences,46.82,-92.08
"University of Minnesota, Twin Cities: Department of Earth and Environmental Sciences",Public,Large,Urban,AANAPISI,GRE not required,,"116 Church Street SE, Suite 150, Minneapolis, MN 55455",https://cse.umn.edu/esci,44.97,-93.23
University of Oklahoma: School of Geosciences,Public,Large,Suburban,No MSI status,GRE not required,,"100 East Boyd Street, RM 710, Norman, OK 73019",https://www.ou.edu/mcee/geosciences,35.21,-97.45
University of Rhode Island: Graduate School of Oceanography/ College of Environment and Life Sciences Biological and Environmental Science Graduate Program,Public,Large,Rural,No MSI status,GRE not required,,"215 South Ferry Road, Narragansett, RI 02882",https://www.uri.edu/programs/graduate-programs/,41.49,-71.53
University of Texas Austin: Department of Marine Science,Public,Large,Urban,No MSI status,GRE not required,,"750 Channel View Drive, Port Aransas, TX 78373",https://cns.utexas.edu/about/facts/marine-science,27.84,-97.05
University of Texas Austin: Jackson School of Geoscience,Public,Large,Urban,No MSI status,GRE not required,,"2275 Speedway, Stop C9000, Austin, TX 78705",https://www.jsg.utexas.edu/dgs/,30.28,-97.73
"University of Texas El Paso: Department of Earth, Environmental and Resource Sciences",Public,Large,Urban,HSI,GRE not required,,"500 W. University Ave, El Paso, TX 79968",https://www.utep.edu/science/geology/,31.77,-106.5
University of Washington: Department of Atmospheric Sciences,Public,Large,Urban,AANAPISI,GRE not required,,"3920 Okanogan Lane NE, Seattle, WA 98195",https://atmos.uw.edu/,47.66,-122.3
"University of Wisconsin, Madison: Department of Atmospheric and Oceanic",Public,Large,Urban,No MSI status,GRE not required,,"1225 West Dayton Street, Room 849, Madison, WI 53706",https://www.aos.wisc.edu/academics/graduate/,43.08,-89.41
"University of Wisconsin, Madison: Department of Geography",Public,Large,Urban,No MSI status,GRE not required,,"550 N. Park Street, Science Hall, Madison, WI 53706",https://geography.wisc.edu/,43.08,-89.41
Utah State University: Department of Geosciences,Public,Large,Rural,No MSI status,GRE not required,,"4505 Old Main Hill, Logan, UT 84322",https://www.usu.edu/geo/,41.75,-111.81
Virginia Tech: Department of Geosciences,Public,Large,Suburban,No MSI status,GRE not required,,"926 West Campus Drive, 4044 Derring Hall, Blacksburg, VA 24061",https://geos.vt.edu/,37.23,-80.42
"Western Kentucky University: Department of Earth, Environmental, and Atmospheric Sciences",Public,Large,Suburban,No MSI status,GRE required,,"1906 College Heights Blvd, EST 304, Bowling Green, KY 42101",https://www.wku.edu/eeas/,36.98,-86.46
William & Mary: School of Marine Science ,Public,Medium,Suburban,No MSI status,GRE not required,,"1370 Greate Rd, Gloucester Point, VA 23062",https://www.vims.edu/,37.27,-76.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
